"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"175","B02512",30,2015,1,8,6,"Manhattan","Upper East Side South","10075","2015/1/8 6:51",9,"N/A",""
"176","B02512",78,2015,1,8,7,"Manhattan","West Chelsea/Hudson Yards","10014","2015/1/8 7:51",9,"N/A",""
"177","B02512",108,2015,1,8,8,"Manhattan","Lower East Side","10002","2015/1/8 8:51",10.9,"N/A",""
"178","B02512",90,2015,1,8,9,"Manhattan","West Village","10014","2015/1/8 9:51",12.9,"N/A",""
"179","B02512",75,2015,1,8,10,"Brooklyn","Crown Heights North","11213","2015/1/8 10:51",16,"N/A",""
"180","B02512",71,2015,1,8,11,"Manhattan","Upper East Side North","10075","2015/1/8 11:51",18,"N/A",""
"181","B02512",71,2015,1,8,12,"Manhattan","Lower East Side","10002","2015/1/8 12:51",19.9,"N/A",""
"182","B02512",66,2015,1,8,13,"Manhattan","Upper East Side South","10075","2015/1/8 13:51",19.9,"N/A",""
"183","B02512",67,2015,1,8,14,"Manhattan","SoHo","10013","2015/1/8 14:51",19.9,"N/A",""
"184","B02512",117,2015,1,8,15,"Manhattan","Gramercy","10017","2015/1/8 15:51",19.9,"N/A",""
"185","B02512",90,2015,1,8,16,"Queens","LaGuardia Airport","11371","2015/1/8 16:51",19,"N/A",""
"186","B02512",159,2015,1,8,17,"Manhattan","Midtown Center","10176","2015/1/8 17:51",18,"N/A",""
"187","B02512",186,2015,1,8,18,"Manhattan","Flatiron","10010","2015/1/8 18:51",18,"N/A",""
"188","B02512",173,2015,1,8,19,"Manhattan","Upper East Side South","10075","2015/1/8 19:51",17.1,"N/A",""
"189","B02512",139,2015,1,8,20,"Manhattan","Murray Hill","10016","2015/1/8 20:51",16,"N/A",""
"190","B02512",138,2015,1,8,21,"Manhattan","Union Sq","10003","2015/1/8 21:51",17.1,"N/A",""
"191","B02512",103,2015,1,8,22,"Manhattan","Lower East Side","10002","2015/1/8 22:51",18,"N/A",""
"192","B02512",75,2015,1,8,23,"Manhattan","Meatpacking/West Village West","10013","2015/1/8 23:51",19,"N/A",""
"193","B02512",30,2015,1,9,0,"Brooklyn","Bedford","11216","2015/1/9 0:51",19.9,"N/A",""
"194","B02512",20,2015,1,9,1,"Manhattan","Morningside Heights","10027","2015/1/9 1:51",21.9,"N/A",""
"195","B02512",7,2015,1,9,2,"Manhattan","Lower East Side","10002","2015/1/9 2:51",23,"N/A",""
"196","B02512",6,2015,1,9,3,"Brooklyn","Bedford","11216","2015/1/9 3:51",24.1,"N/A",""
